game1,game2,label1,label2
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Gen9Era,http://www.semanticweb.org/videogame-domain/ontology#Gen9,9th Generation Era,9th Generation Era
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#BandaiNamco,http://www.semanticweb.org/videogame-domain/ontology#BandaiNamcoPublishing,Bandai Namco Entertainment,Bandai Namco Entertainment
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#EldenRing,http://www.semanticweb.org/videogame-domain/ontology#EldenRingGame,Elden Ring,Elden Ring
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#EA,http://www.semanticweb.org/videogame-domain/ontology#ElectronicArts,Electronic Arts,Electronic Arts
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#EuropeRegion,http://www.semanticweb.org/videogame-domain/ontology#EuropeTerritory,Europe,Europe
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#FIFA23,http://www.semanticweb.org/videogame-domain/ontology#FIFA23Game,FIFA 23,FIFA 23
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#FromSoftware,http://www.semanticweb.org/videogame-domain/ontology#FromSoftwareStudio,FromSoftware,FromSoftware
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#GodOfWar,http://www.semanticweb.org/videogame-domain/ontology#GodOfWarRagnarok,God of War Ragnarok,God of War Ragnarok
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Microsoft,http://www.semanticweb.org/videogame-domain/ontology#MicrosoftGaming,Microsoft,Microsoft
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Nintendo,http://www.semanticweb.org/videogame-domain/ontology#NintendoCo,Nintendo,Nintendo
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#NintendoSwitch,http://www.semanticweb.org/videogame-domain/ontology#NintendoSwitch,Nintendo Switch,Nintendo Switch
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#NorthAmericaRegion,http://www.semanticweb.org/videogame-domain/ontology#NorthAmericaTerritory,North America,North America
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#PS5,http://www.semanticweb.org/videogame-domain/ontology#PlayStation5,PlayStation 5,PlayStation 5
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Sony,http://www.semanticweb.org/videogame-domain/ontology#SonyPublishing,Sony Interactive Entertainment,Sony Interactive Entertainment
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#SonyInteractive,http://www.semanticweb.org/videogame-domain/ontology#SonyPublishing,Sony Interactive Entertainment,Sony Interactive Entertainment
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Sony,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#SonyInteractive,Sony Interactive Entertainment,Sony Interactive Entertainment
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#XboxSeriesX,http://www.semanticweb.org/videogame-domain/ontology#XboxSeriesX,Xbox Series X,Xbox Series X
