track,task,onto1,onto2,precision,recall,f_score,n_system,n_reference,n_correct,time_seconds,timed_out,output_file
circular-economy,CEON-BiOnto,CEON,BiOnto,0.0172,0.931,0.0338,1571,29,27,0.0,False,alignments/omni_align-CEON-BiOnto.ttl
circular-economy,CEON-MATONTO,CEON,MATONTO,0.0153,0.9375,0.0301,980,16,15,0.0,False,alignments/omni_align-CEON-MATONTO.ttl
conference,cmt-confOf,cmt,confOf,0.1429,0.625,0.2326,70,16,10,0.0,False,alignments/omni_align-cmt-confOf.ttl
conference,cmt-conference,cmt,conference,0.0307,0.7333,0.059,358,15,11,0.0,False,alignments/omni_align-cmt-conference.ttl
conference,cmt-edas,cmt,edas,0.0353,0.7692,0.0676,283,13,10,0.0,False,alignments/omni_align-cmt-edas.ttl
conference,cmt-ekaw,cmt,ekaw,0.0239,0.7273,0.0462,335,11,8,0.0,False,alignments/omni_align-cmt-ekaw.ttl
conference,cmt-iasted,cmt,iasted,0.0268,1.0,0.0523,149,4,4,0.0,False,alignments/omni_align-cmt-iasted.ttl
conference,cmt-sigkdd,cmt,sigkdd,0.0679,0.9167,0.1264,162,12,11,0.0,False,alignments/omni_align-cmt-sigkdd.ttl
conference,confOf-edas,confOf,edas,0.0648,0.7368,0.1191,216,19,14,0.0,False,alignments/omni_align-confOf-edas.ttl
conference,confOf-ekaw,confOf,ekaw,0.1069,0.85,0.1899,159,20,17,0.0,False,alignments/omni_align-confOf-ekaw.ttl
conference,confOf-iasted,confOf,iasted,0.0857,0.6667,0.1519,70,9,6,0.0,False,alignments/omni_align-confOf-iasted.ttl
conference,confOf-sigkdd,confOf,sigkdd,0.0938,0.8571,0.169,64,7,6,0.0,False,alignments/omni_align-confOf-sigkdd.ttl
conference,conference-confOf,conference,confOf,0.1505,0.9333,0.2593,93,15,14,0.0,False,alignments/omni_align-conference-confOf.ttl
conference,conference-edas,conference,edas,0.0423,0.8824,0.0806,355,17,15,0.0,False,alignments/omni_align-conference-edas.ttl
conference,conference-ekaw,conference,ekaw,0.0542,0.8,0.1015,369,25,20,0.0,False,alignments/omni_align-conference-ekaw.ttl
conference,conference-iasted,conference,iasted,0.025,0.5,0.0476,280,14,7,0.0,False,alignments/omni_align-conference-iasted.ttl
conference,conference-sigkdd,conference,sigkdd,0.0397,0.7333,0.0753,277,15,11,0.0,False,alignments/omni_align-conference-sigkdd.ttl
digital-humanities,defc-pactols,defc,pactols,0.0,0.0,0.0,1,10,0,0.0,False,alignments/omni_align-defc-pactols.ttl
digital-humanities,dha-unesco,dha,unesco,0.0,0.0,0.0,1,10,0,0.0,False,alignments/omni_align-dha-unesco.ttl
conference,edas-ekaw,edas,ekaw,0.0352,0.6957,0.0669,455,23,16,0.0,False,alignments/omni_align-edas-ekaw.ttl
conference,edas-iasted,edas,iasted,0.0524,0.6842,0.0974,248,19,13,0.0,False,alignments/omni_align-edas-iasted.ttl
conference,edas-sigkdd,edas,sigkdd,0.0759,0.8,0.1387,158,15,12,0.0,False,alignments/omni_align-edas-sigkdd.ttl
conference,ekaw-iasted,ekaw,iasted,0.0377,0.8,0.0721,212,10,8,0.0,False,alignments/omni_align-ekaw-iasted.ttl
conference,ekaw-sigkdd,ekaw,sigkdd,0.0685,0.9091,0.1274,146,11,10,0.0,False,alignments/omni_align-ekaw-sigkdd.ttl
anatomy,human-mouse,human,mouse,0.0736,0.8549,0.1355,17607,1516,1296,0.0,False,alignments/omni_align-human-mouse.ttl
conference,iasted-sigkdd,iasted,sigkdd,0.0569,0.9333,0.1073,246,15,14,0.0,False,alignments/omni_align-iasted-sigkdd.ttl
digital-humanities,idai-pactols,idai,pactols,0.0,0.0,0.0,1,17,0,0.0,False,alignments/omni_align-idai-pactols.ttl
digital-humanities,idai-parthenos,idai,parthenos,0.0,0.0,0.0,1,52,0,0.0,False,alignments/omni_align-idai-parthenos.ttl
digital-humanities,ironagedanube-pactols,ironagedanube,pactols,0.0,0.0,0.0,1,5,0,0.0,False,alignments/omni_align-ironagedanube-pactols.ttl
bio-ml,ncit-doid,ncit,doid,0.0314,0.8449,0.0606,126057,4686,3959,0.0,False,alignments/omni_align-ncit-doid.ttl
digital-humanities,oeai-parthenos,oeai,parthenos,0.0,0.0,0.0,1,47,0,0.0,False,alignments/omni_align-oeai-parthenos.ttl
bio-ml,omim-ordo,omim,ordo,0.0254,0.7528,0.0492,110117,3721,2801,0.0,False,alignments/omni_align-omim-ordo.ttl
digital-humanities,pactols-parthenos,pactols,parthenos,0.0,0.0,0.0,1,12,0,0.0,False,alignments/omni_align-pactols-parthenos.ttl
bio-ml,snomed.body-fma.body,snomed.body,fma.body,0.0,0.0,0.0,0,7256,0,0.0,False,alignments/omni_align-snomed.body-fma.body.ttl
bio-ml,snomed.neoplas-ncit.neoplas,snomed.neoplas,ncit.neoplas,0.0074,0.8226,0.0147,421245,3804,3129,0.0,False,alignments/omni_align-snomed.neoplas-ncit.neoplas.ttl
digital-humanities,tadirah-unesco,tadirah,unesco,0.0,0.0,0.0,2,15,0,0.0,False,alignments/omni_align-tadirah-unesco.ttl
